code,term
10971000087107,Myocardial ischemia during surgery
15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis
15960141000119102,Angina co-occurrent and due to coronary arteriosclerosis
15960341000119104,Unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart
15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
15960461000119105,Unstable angina due to arteriosclerosis of autologous arterial coronary artery bypass graft
15960541000119107,Unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft
15960581000119102,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft
15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
15960741000119103,Preinfarction syndrome due to arteriosclerosis of nonautologous biological coronary artery bypass graft
16754391000119100,Stable angina due to coronary arteriosclerosis
19057007,Status anginosus
194823009,Acute coronary insufficiency
194828000,Angina
21470009,Syncope anginosa
225566008,Ischemic chest pain
233819005,Stable angina
233821000,New onset angina
233823002,Silent myocardial ischemia
25106000,Impending infarction
300995000,Exercise-induced angina
314116003,Post infarct angina
315025001,Refractory angina
35461000087105,Ischemia of anterior myocardium
35471000087101,Ischemia of apical anterior segment of left cardiac ventricle
35481000087104,Ischemia of myocardium of ventricular septum
35491000087102,Ischemia of lateral myocardium
35501000087105,Ischemia of myocardium of anterolateral region
35511000087107,Ischemia of myocardium of anteroseptal region
35521000087104,Ischemia of myocardium of apex of heart
35541000087108,Ischemia of myocardium of inferior surface of left ventricle
35551000087106,Ischemia of myocardium of inferolateral region
35561000087109,Ischemia of myocardium of inferolateral region of myocardium with extension to posterior myocardium
35571000087100,Ischemia of myocardium of posterolateral region
35581000087103,Ischemia of posterior myocardium
35928006,Nocturnal angina
371806006,Progressive angina
371807002,Atypical angina
371808007,Recurrent angina status post percutaneous transluminal coronary angioplasty
371809004,Recurrent angina following placement of coronary artery stent
371810009,Recurrent angina status post coronary artery bypass graft
371811008,Recurrent angina status post rotational atherectomy
371812001,Recurrent angina status post directional coronary atherectomy
394659003,Acute coronary syndrome
41334000,"Angina, class II"
413439005,Acute ischemic heart disease
413444003,Acute myocardial ischemia
413838009,Chronic ischemic heart disease
413844008,Chronic myocardial ischemia
414545008,Ischemic heart disease
414795007,Myocardial ischemia
429559004,Typical angina
4557003,Preinfarction syndrome
46109009,Subendocardial ischemia
59021001,Angina decubitus
61490001,"Angina, class I"
697976003,Microvascular ischemia of myocardium
703214003,Silent coronary vasospastic disease
712866001,Resting ischemia co-occurrent and due to ischemic heart disease
713405002,Subacute ischemic heart disease
791000119109,Angina due to type 2 diabetes mellitus
792842004,Coronary arteriosclerosis in artery of transplanted heart
85284003,"Angina, class III"
87343002,Prinzmetal angina
89323001,"Angina, class IV"
