code,term
13005411000001106,Methylprednisolone 1mg/5ml oral suspension
12950111000001100,Methylprednisolone 1mg/5ml oral suspension (Special Order)
325411009,Methylprednisolone 2mg tablets
4051211000001101,Medrone 2mg tablets (Pfizer Ltd)
325412002,Methylprednisolone 4mg tablets
4051611000001104,Medrone 4mg tablets (Pfizer Ltd)
325413007,Methylprednisolone 16mg tablets
4051911000001105,Medrone 16mg tablets (Pfizer Ltd)
325410005,Methylprednisolone 100mg tablets
4052211000001108,Medrone 100mg tablets (Pfizer Ltd)
17516611000001107,Medrone 100mg tablets (Mawdsley-Brooks & Company Ltd)
17570011000001108,Medrone 100mg tablets (Sigma Pharmaceuticals Plc)
18592011000001106,Medrone 100mg tablets (DE Pharmaceuticals)
36815111000001106,Medrone 100mg tablets (Originalis B.V.)
32781411000001102,Prednisolone 30mg tablets
32774411000001107,Prednisolone 30mg tablets (Accord Healthcare Ltd)
32776711000001105,Prednisolone 30mg tablets (A A H Pharmaceuticals Ltd)
39173511000001107,Prednisolone 30mg tablets (Medihealth (Northern) Ltd)
32611811000001105,Prednisolone 1mg gastro-resistant tablets
32584711000001105,Prednisolone 1mg gastro-resistant tablets (Phoenix Labs Ltd)
33425811000001105,Prednisolone 1mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
33428411000001103,Prednisolone 1mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
37130011000001104,Prednisolone 1mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)
37778311000001107,Prednisolone 1mg gastro-resistant tablets (DE Pharmaceuticals)
29904211000001102,Prednisolone 10mg/ml oral solution sugar free
29879111000001105,Prednisolone 10mg/ml oral solution sugar free (Advanz Pharma)
30129111000001103,Prednisolone 10mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)
37778511000001101,Prednisolone 10mg/ml oral solution sugar free (DE Pharmaceuticals)
37941611000001100,Prednisolone 10mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
39174011000001102,Prednisolone 10mg/ml oral solution sugar free (Medihealth (Northern) Ltd)
40435311000001104,Prednisolone 10mg/ml oral solution sugar free (Aerona Clinical Ltd)
29424511000001109,Prednisolone 5mg/5ml oral solution unit dose
29361211000001105,Prednisolone 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd)
29559211000001100,Prednisolone 5mg/5ml oral solution unit dose (A A H Pharmaceuticals Ltd)
31386211000001109,Prednisolone Dompe 5mg/5ml oral solution unit dose (Logixx Pharma Solutions Ltd)
32688311000001106,Prednisolone 5mg/5ml oral solution unit dose (Alliance Healthcare (Distribution) Ltd)
28808611000001100,Prednisolone 2.5mg tablets
28798211000001102,Pevanti 2.5mg tablets (Advanz Pharma)
32772911000001108,Prednisolone 2.5mg tablets (Accord Healthcare Ltd)
32776111000001109,Prednisolone 2.5mg tablets (A A H Pharmaceuticals Ltd)
39172911000001107,Prednisolone 2.5mg tablets (Medihealth (Northern) Ltd)
28808411000001103,Prednisolone 10mg tablets
28799311000001104,Pevanti 10mg tablets (Advanz Pharma)
32771211000001106,Prednisolone 10mg tablets (Accord Healthcare Ltd)
32776311000001106,Prednisolone 10mg tablets (A A H Pharmaceuticals Ltd)
39169811000001100,Prednisolone 10mg tablets (Medihealth (Northern) Ltd)
28808711000001109,Prednisolone 20mg tablets
28799611000001109,Pevanti 20mg tablets (Advanz Pharma)
32773211000001105,Prednisolone 20mg tablets (Accord Healthcare Ltd)
32776511000001100,Prednisolone 20mg tablets (A A H Pharmaceuticals Ltd)
